TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
581000,2023-12-07,22961,Jam Making Set Printed,6.19,12,12720.0,Germany
581000,2023-12-07,21531,Red Retrospot Sugar Jam Bowl,6.19,6,12720.0,Germany
581000,2023-12-07,22627,Mint Kitchen Scales,6.19,2,12720.0,Germany
581000,2023-12-07,22625,Red Kitchen Scales,6.19,2,12720.0,Germany
581000,2023-12-07,22960,Jam Making Set With Jars,6.19,12,12720.0,Germany
581000,2023-12-07,22554,Plasters In Tin Woodland Animals,6.19,12,12720.0,Germany
581000,2023-12-07,22722,Set Of 6 Spice Tins Pantry Design,6.19,4,12720.0,Germany
581000,2023-12-07,22720,Set Of 3 Cake Tins Pantry Design,6.19,3,12720.0,Germany
581000,2023-12-07,22723,Set Of 6 Herb Tins Sketchbook,6.19,12,12720.0,Germany
581000,2023-12-07,22072,Red Retrospot Tea Cup And Saucer,6.19,12,12720.0,Germany
581000,2023-12-07,22596,Christmas Star Wish List Chalkboard,6.19,24,12720.0,Germany
581000,2023-12-07,84819,Danish Rose Round Sewing Box,6.19,16,12720.0,Germany
581000,2023-12-07,84820,Danish Rose Trinket Trays,6.19,16,12720.0,Germany
581000,2023-12-07,23294,Set Of 6 Snack Loaf Baking Cases,6.19,8,12720.0,Germany
581000,2023-12-07,23295,Set Of 12 Mini Loaf Baking Cases,6.19,8,12720.0,Germany
581000,2023-12-07,22326,Round Snack Boxes Set Of4 Woodland,6.19,6,12720.0,Germany
581000,2023-12-07,22328,Round Snack Boxes Set Of 4 Fruits,6.19,6,12720.0,Germany
581000,2023-12-07,22624,Ivory Kitchen Scales,6.19,2,12720.0,Germany
581001,2023-12-07,23562,Set Of 6 Ribbons Perfectly Pretty,6.19,6,12583.0,France
581001,2023-12-07,22540,Mini Jigsaw Circus Parade,6.19,48,12583.0,France
581001,2023-12-07,22544,Mini Jigsaw Spaceboy,6.19,48,12583.0,France
581001,2023-12-07,23480,Mini Lights Woodland Mushrooms,6.19,32,12583.0,France
581001,2023-12-07,23084,Rabbit Night Light,6.19,24,12583.0,France
581001,2023-12-07,23298,Spotty Bunting,6.19,12,12583.0,France
581001,2023-12-07,22909,Set Of 20 Vintage Christmas Napkins,6.19,12,12583.0,France
581001,2023-12-07,22613,Pack Of 20 Spaceboy Napkins,6.19,12,12583.0,France
581001,2023-12-07,22617,Baking Set Spaceboy Design,6.19,3,12583.0,France
581001,2023-12-07,23515,Embroidered Ribbon Reel Daisy,6.19,6,12583.0,France
581001,2023-12-07,22367,Childrens Apron Spaceboy Design,6.19,8,12583.0,France
581001,2023-12-07,21156,Retrospot Childrens Apron,6.19,8,12583.0,France
